CustomerID,Previous Shopper,Age,Annual Income,Spending Score (1-100)
1,Yes,19,15000,39
2,Yes,21,15000,81
3,No,20,16000,6
4,No,23,16000,77
5,No,31,17000,40
6,No,22,17000,76
7,No,35,18000,6
8,No,23,18000,94
9,Yes,64,19000,3
10,No,30,19000,72
11,Yes,67,19000,14
12,No,35,19000,99
13,No,58,20000,15
14,No,24,20000,77
15,Yes,37,20000,13
16,Yes,22,20000,79
17,No,35,21000,35
18,Yes,20,21000,66
19,Yes,52,23000,29
20,No,35,23000,98
21,Yes,35,24000,35
22,Yes,25,24000,73
23,No,46,25000,5
24,Yes,31,25000,73
25,No,54,28000,14
26,Yes,29,28000,82
27,No,45,28000,32
28,Yes,35,28000,61
29,No,40,29000,31
30,No,23,29000,87
31,Yes,60,30000,4
32,No,21,30000,73
33,Yes,53,33000,4
34,Yes,18,33000,92
35,No,49,33000,14
36,No,21,33000,81
37,No,42,34000,17
38,No,30,34000,73
39,No,36,37000,26
40,No,20,37000,75
41,No,65,38000,35
42,Yes,24,38000,92
43,Yes,48,39000,36
44,No,31,39000,61
45,No,49,39000,28
46,No,24,39000,65
47,No,50,40000,55
48,No,27,40000,47
49,No,29,40000,42
50,No,31,40000,42
51,No,49,42000,52
52,Yes,33,42000,60
53,No,31,43000,54
54,Yes,59,43000,60
55,No,50,43000,45
56,Yes,47,43000,41
57,No,51,44000,50
58,Yes,69,44000,46
59,No,27,46000,51
60,Yes,53,46000,46
61,Yes,70,46000,56
62,Yes,19,46000,55
63,No,67,47000,52
64,No,54,47000,59
65,Yes,63,48000,51
66,Yes,18,48000,59
67,No,43,48000,50
68,No,68,48000,48
69,Yes,19,48000,59
70,No,32,48000,47
71,Yes,70,49000,55
72,No,47,49000,42
73,No,60,50000,49
74,No,60,50000,56
75,Yes,59,54000,47
76,Yes,26,54000,54
77,No,45,54000,53
78,Yes,40,54000,48
79,No,23,54000,52
80,No,49,54000,42
81,Yes,57,54000,51
82,Yes,38,54000,55
83,Yes,67,54000,41
84,No,46,54000,44
85,No,21,54000,57
86,Yes,48,54000,46
87,No,55,57000,58
88,No,22,57000,55
89,No,34,58000,60
90,No,50,58000,46
91,No,68,59000,55
92,Yes,18,59000,41
93,Yes,48,60000,49
94,No,40,60000,40
95,No,32,60000,42
96,Yes,24,60000,52
97,No,47,60000,47
98,No,27,60000,50
99,Yes,48,61000,42
100,Yes,20,61000,49
101,No,23,62000,41
102,No,49,62000,48
103,Yes,67,62000,59
104,Yes,26,62000,55
105,Yes,49,62000,56
106,No,21,62000,42
107,No,66,63000,50
108,Yes,54,63000,46
109,Yes,68,63000,43
110,Yes,66,63000,48
111,Yes,65,63000,52
112,No,19,63000,54
113,No,38,64000,42
114,Yes,19,64000,46
115,No,18,65000,48
116,No,19,65000,50
117,No,63,65000,43
118,No,49,65000,59
119,No,51,67000,43
120,No,50,67000,57
121,Yes,27,67000,56
122,No,38,67000,40
123,No,40,69000,58
124,Yes,39,69000,91
125,No,23,70000,29
126,No,31,70000,77
127,Yes,43,71000,35
128,Yes,40,71000,95
129,Yes,59,71000,11
130,Yes,38,71000,75
131,Yes,47,71000,9
132,Yes,39,71000,75
133,No,25,72000,34
134,No,31,72000,71
135,Yes,20,73000,5
136,No,29,73000,88
137,No,44,73000,7
138,Yes,32,73000,73
139,Yes,19,74000,10
140,No,35,74000,72
141,No,57,75000,5
142,Yes,32,75000,93
143,No,28,76000,40
144,No,32,76000,87
145,Yes,25,77000,12
146,Yes,28,77000,97
147,Yes,48,77000,36
148,No,32,77000,74
149,No,34,78000,22
150,Yes,34,78000,90
151,Yes,43,78000,17
152,Yes,39,78000,88
153,No,44,78000,20
154,No,38,78000,76
155,No,47,78000,16
156,No,27,78000,89
157,Yes,37,78000,1
158,No,30,78000,78
159,Yes,34,78000,1
160,No,30,78000,73
161,No,56,79000,35
162,No,29,79000,83
163,Yes,19,81000,5
164,No,31,81000,93
165,Yes,50,85000,26
166,No,36,85000,75
167,Yes,42,86000,20
168,No,33,86000,95
169,No,36,87000,27
170,Yes,32,87000,63
171,Yes,40,87000,13
172,Yes,28,87000,75
173,Yes,36,87000,10
174,Yes,36,87000,92
175,No,52,88000,13
176,No,30,88000,86
177,Yes,58,88000,15
178,Yes,27,88000,69
179,Yes,59,93000,14
180,Yes,35,93000,90
181,No,37,97000,32
182,No,32,97000,86
183,Yes,46,98000,15
184,No,29,98000,88
185,No,41,99000,39
186,Yes,30,99000,97
187,No,54,101000,24
188,Yes,28,101000,68
189,No,41,103000,17
190,No,36,103000,85
191,No,34,103000,23
192,No,32,103000,69
193,Yes,33,113000,8
194,No,38,113000,91
195,No,47,120000,16
196,No,35,120000,79
197,No,45,126000,28
198,Yes,32,126000,74
199,Yes,32,137000,18
200,Yes,30,137000,83
